ip_address,packets,traffic_in_bytes
192.168.100.201,1428703,2821150038
239.192.0.1,1428703,2821150038
192.168.63.253,1856139,765898469
192.168.63.254,1549591,700697993
192.168.129.124,56626,55830625
209.85.137.4,53798,55342450
192.168.128.2,50384,41925770
192.168.128.16,34497,20750125
192.168.130.44,76462,12871526
192.168.129.173,50868,10057284
192.168.128.220,15434,6886142
192.168.128.72,28068,5945146
192.168.129.212,28788,5782831
192.168.131.16,22233,5571964
192.168.130.224,25342,5385548
18.155.192.122,4485,4727070
192.168.129.88,12009,3638236
192.168.129.40,15395,3582978
192.168.128.52,20217,3438922
45.60.67.13,3209,3402183
192.168.33.120,25283,3297303
192.168.130.196,17056,3219522
192.168.129.69,11849,2815737
192.168.130.238,17221,2640960
192.168.33.115,14027,2404046
192.168.130.208,12975,2267404
17.57.154.7,2329,2033868
192.168.131.132,10955,2021333
151.101.67.6,4076,1887158
151.101.3.6,4030,1861865
192.168.130.192,21533,1854660
151.101.195.6,3930,1819107
151.101.131.6,3911,1814492
192.168.159.254,10906,1809048
192.168.33.184,4879,1730726
192.168.129.180,13390,1613412
172.217.31.164,1719,1596755
17.248.225.29,18420,1521481
17.248.225.44,18266,1520378
142.250.196.136,1445,1457213
192.168.130.116,6202,1390210
192.168.33.247,4978,1351464
65.8.179.77,1280,1345139
17.248.225.14,14989,1186380
192.168.131.192,13247,1147812
192.168.131.172,11172,1134878
17.248.167.68,1955,1098233
192.168.130.104,4127,1087025
142.250.196.104,1018,1058295
17.57.145.137,1205,967026
192.168.129.248,9572,943431
172.224.111.4,1497,936702
17.248.167.88,1562,848478
17.248.167.102,1555,847932
172.224.110.5,1326,766982
17.248.167.56,1241,749856
172.224.110.16,1315,743802
17.248.167.59,1269,737570
17.248.167.90,1349,711389
17.248.167.89,1283,709738
172.224.110.6,1168,706040
255.255.255.255,2064,705878
17.248.167.70,1335,703314
172.224.111.14,1107,684216
17.248.167.107,1100,680994
172.224.180.4,1119,678566
17.248.167.41,1244,672564
17.248.225.69,7928,669375
192.168.129.196,6607,662022
172.224.111.10,1078,655674
172.224.180.138,1140,652610
172.224.110.7,1055,648624
17.248.167.105,1182,642746
17.248.167.53,1064,641694
182.22.16.123,636,627687
17.248.167.40,1054,619606
17.248.167.85,1125,617292
17.248.167.73,1026,616140
ff02::fb,4036,615664
17.248.167.69,1159,601548
23.217.68.33,1416,590326
172.224.111.6,978,574290
8.8.8.8,4544,568997
17.248.167.55,995,559848
172.224.111.9,892,554442
192.168.129.200,2259,548880
17.248.167.52,1001,544207
192.168.128.160,3540,543406
8.8.4.4,4501,539564
172.224.180.6,932,535208
17.248.167.43,958,533310
17.248.167.86,942,530748
192.168.34.56,1520,522025
172.224.180.3,853,514592
17.248.167.106,984,513000
192.168.130.76,6153,507600
172.224.111.7,797,501042
17.248.225.68,6389,498038
17.248.167.87,869,494832
172.224.180.131,864,491814
172.224.180.135,765,485406
224.0.0.251,3700,484834
172.224.180.132,778,481164
172.224.110.4,785,477768
172.224.180.9,794,461388
172.224.110.10,771,459578
17.248.167.58,797,454174
17.248.167.54,768,451476
17.248.167.91,700,448720
17.248.225.70,5732,446920
17.248.167.103,835,443562
172.224.180.133,711,440444
172.224.111.12,697,431484
172.224.110.20,702,427916
17.248.167.72,728,425948
17.248.225.65,5266,425602
172.224.110.11,736,422684
172.224.111.16,720,420138
172.224.110.8,694,415482
172.224.111.5,642,412724
172.224.110.19,648,410580
172.224.111.13,677,408900
172.224.111.11,605,408540
172.224.180.7,682,405332
172.224.180.136,629,394628
17.248.167.75,655,388788
17.248.225.67,4779,385047
17.248.167.74,618,372730
23.51.14.147,586,370046
172.224.110.9,652,364902
192.168.129.24,4572,363224
23.216.153.78,395,355433
0.0.0.0,1034,353618
172.224.110.18,560,352470
17.248.225.64,4271,350258
172.224.110.14,548,350220
23.62.20.107,639,334436
172.224.111.8,499,330630
17.248.167.101,604,316482
17.248.167.84,496,316078
17.248.167.42,514,316032
17.248.167.39,555,315256
172.224.110.17,453,313902
23.51.14.177,465,312859
172.224.110.12,563,311954
192.168.130.0,3976,311646
172.224.180.5,523,307536
17.23.18.34,676,307337
31.13.82.7,321,306352
17.248.167.71,527,305188
23.63.233.9,429,305057
17.42.251.69,3912,300272
17.42.251.72,3899,299706
17.248.167.36,554,299426
17.248.167.37,512,289580
172.224.110.13,454,283758
172.224.180.8,475,274884
18.205.208.254,440,271648
172.224.180.137,482,271472
17.248.225.66,3134,268492
192.168.129.184,3177,253600
192.168.128.164,1493,231244
ff02::16,2244,229600
17.248.167.38,411,227844
fe80::89b:5560:4689:df8a,973,226229
172.224.111.15,307,218418
17.248.167.104,404,215472
17.253.69.207,959,210386
172.224.110.15,321,207684
172.224.180.10,369,206172
151.101.67.52,258,184594
151.101.131.52,253,180180
151.101.3.52,252,180138
151.101.195.52,248,179898
64.233.189.108,2116,163336
17.57.145.27,364,162163
192.168.131.140,1302,161484
64.233.189.109,2040,157424
fe80::86e:f2ff:28cb:ffc0,1569,156184
192.168.130.156,1775,138368
23.62.20.91,435,133895
192.168.34.57,300,133200
151.101.1.44,198,131164
31.13.82.36,296,126731
17.248.167.100,204,122346
182.248.170.97,1568,121488
142.250.194.110,263,120418
17.57.145.148,233,117185
17.57.155.39,1518,114932
192.168.34.66,596,113452
172.224.180.134,125,110928
23.62.20.102,257,107422
ff02::2,1588,106960
10.4.128.16,180,106200
17.57.145.151,317,104870
18.155.192.75,194,104273
31.13.82.174,201,104238
142.250.194.106,212,98230
142.250.194.131,338,98046
124.146.153.154,206,96268
108.177.97.108,1235,94554
17.248.167.57,150,93168
108.177.97.109,1215,93010
108.177.125.109,1203,92106
108.177.125.108,1202,92028
17.253.69.195,785,91323
142.251.42.138,175,89448
65.8.177.106,158,86846
103.43.90.19,132,86141
17.253.150.10,80,85550
162.159.194.66,117,84958
172.217.26.238,202,84172
17.253.69.196,1071,83522
23.52.128.21,994,82511
31.13.82.142,115,81930
57.144.150.34,150,81636
17.56.9.32,1050,81244
13.227.77.215,256,81195
35.212.26.181,125,80562
35.212.76.96,123,80530
17.156.192.7,1014,78884
74.125.203.108,1020,78152
172.64.69.66,114,78082
162.159.196.66,113,78040
172.64.68.66,111,77956
142.251.170.109,1015,77842
142.251.170.108,1010,77452
74.125.203.109,1009,77310
17.253.69.205,975,76034
17.253.145.10,54,75902
65.1.18.34,136,74466
142.251.42.170,182,74298
147.92.146.114,183,73942
172.217.175.34,121,73029
192.168.129.84,302,72360
17.57.145.26,296,72180
183.79.48.249,169,72063
23.62.20.111,137,71771
202.233.84.1,205,71618
18.173.121.68,156,70990
17.57.12.34,587,70403
23.52.128.17,886,69108
172.217.175.46,181,68963
182.22.30.204,158,68955
192.168.33.201,198,67221
::,711,67134
103.132.192.30,195,66768
34.102.157.207,126,66013
151.101.108.157,138,65613
17.253.71.141,566,65595
65.8.180.2,112,65528
17.253.69.200,838,65300
17.57.145.133,253,65163
17.253.69.201,827,64474
104.21.34.165,235,64200
17.253.69.198,805,62758
17.253.69.202,800,62368
115.127.227.158,126,60520
147.92.191.92,127,59398
216.58.220.106,211,59117
17.253.69.199,749,58374
3.115.53.205,188,58139
17.253.69.208,743,57938
31.13.82.52,95,57266
17.253.71.133,574,57172
17.253.69.203,729,56862
142.250.207.42,171,56054
108.139.10.31,175,54528
18.155.192.58,153,54199
fe80::1443:21e7:6a9a:9015,433,54124
17.253.69.204,691,53898
17.253.71.136,691,53882
172.217.161.74,157,53774
fe80::10b3:df1:3c5:fcc,519,53182
17.253.69.197,677,52806
216.58.220.138,143,52643
108.138.246.13,144,52643
182.161.74.19,145,52630
147.92.191.21,131,52245
65.8.180.82,128,51482
182.161.74.48,115,51433
142.250.194.142,109,50862
52.193.218.111,154,50856
17.253.71.140,647,50434
142.250.77.162,137,50333
23.51.14.193,111,49985
17.253.71.148,621,48438
31.13.82.40,283,48356
172.217.26.226,112,47640
151.101.64.84,76,47475
17.253.71.147,608,47424
17.253.71.135,501,47309
23.192.46.178,600,46800
224.0.0.22,779,46740
35.244.205.217,104,46144
151.101.1.91,177,46054
fe80::84:1df8:ea7:98d,448,45926
192.168.100.255,174,45752
142.251.42.130,82,45376
13.112.141.181,129,45011
17.253.71.150,577,45006
17.57.145.132,242,44676
17.253.69.206,566,44148
17.253.71.132,566,44100
3.169.183.128,88,44100
17.8.139.6,159,43881
17.253.71.134,561,43726
17.253.71.151,560,43664
142.250.207.2,69,42020
147.92.184.151,132,42010
4.153.129.168,84,41672
216.239.38.223,92,41530
17.253.71.145,532,41480
17.253.71.139,529,41246
68.71.249.74,103,41177
17.253.71.137,524,40872
13.107.226.46,56,40273
23.192.46.138,512,39936
182.161.74.14,122,38886
fe80::14c3:77ea:d80e:9601,389,38739
17.57.145.149,162,38651
151.101.192.84,76,38465
69.173.158.64,96,38331
31.13.82.1,64,38000
17.253.71.131,416,37931
34.111.123.165,124,37377
35.244.154.8,92,36949
157.240.209.142,52,36888
17.253.71.144,472,36784
17.253.71.149,400,36735
57.144.152.192,111,36626
17.57.145.152,204,36526
239.255.255.250,192,35844
13.113.0.9,129,35666
17.57.155.35,463,35506
182.161.74.17,54,35504
17.253.71.152,450,35100
17.253.71.142,448,34944
3.169.183.41,66,34659
17.57.156.39,443,34410
17.253.71.143,437,34086
18.140.18.123,73,33939
74.125.23.154,93,33900
fe80::18d4:133d:a5ae:9bcb,321,33610
139.99.123.150,70,33500
17.252.196.22,103,33496
17.57.145.135,207,33349
57.182.237.220,100,33342
47.130.6.21,80,33314
23.35.100.27,81,33282
23.62.20.98,91,33023
142.251.42.206,67,32929
142.250.196.138,106,31536
142.251.42.202,104,31392
142.250.199.106,104,31392
54.251.116.93,74,31283
23.217.180.238,72,31247
192.168.128.3,307,30930
192.168.255.255,307,30930
17.111.103.20,402,30924
18.176.207.71,93,30810
34.96.106.127,30,30588
17.157.64.66,55,30581
23.62.21.155,57,30374
141.226.224.32,124,30105
17.57.145.138,212,29839
49.102.155.1,381,29718
142.250.77.170,107,29562
142.250.194.138,78,29364
54.150.150.157,100,29287
34.49.1.209,66,29127
23.62.20.117,63,28954
57.144.152.196,42,28812
52.198.196.19,83,28448
17.253.71.146,362,28236
35.72.86.201,85,27794
23.52.128.70,64,27657
172.217.31.170,82,27322
172.67.163.20,97,27238
17.57.145.150,120,27192
192.168.131.164,63,26770
17.188.182.132,212,26647
17.253.71.138,341,26582
17.57.145.25,181,26011
202.233.84.10,81,25937
57.155.120.218,61,25921
142.250.207.3,165,25674
fe80::880:903e:2c5b:e9e5,229,25664
133.237.108.90,71,25588
108.138.245.118,43,25576
207.65.34.80,73,25532
35.78.134.177,101,25434
162.159.140.229,95,25433
151.101.2.132,91,25429
104.18.38.233,68,25412
172.66.0.227,96,25177
18.244.214.45,60,25127
fe80::1cb4:f1f7:c2fe:5f22,237,24902
23.54.60.36,46,24765
142.250.196.131,316,24648
17.171.47.23,320,24608
108.138.246.8,67,24595
172.217.175.234,89,24402
18.65.185.29,49,24392
216.239.32.29,310,24180
176.32.88.193,77,23777
52.223.2.229,72,23705
142.250.207.10,80,23700
142.250.196.106,80,23700
3.169.183.7,58,23262
fe80::14b9:1182:e224:de05,223,23240
104.18.26.193,55,23234
172.64.68.64,45,23220
172.64.69.64,45,23220
162.159.196.64,45,23220
162.159.194.64,45,23220
34.192.193.237,58,23209
182.248.170.225,301,23142
172.217.174.106,72,23064
fe80::1ca0:af5e:3ac4:9dbb,222,23062
18.173.121.87,59,23054
18.239.199.34,57,22947
57.144.150.1,40,22908
17.188.178.34,162,22902
23.62.20.101,62,22867
23.106.127.169,66,22780
23.52.128.88,67,22561
23.62.185.138,42,22536
104.17.111.223,55,22347
180.222.119.247,52,22055
23.62.20.114,122,21943
157.240.31.63,47,21906
35.212.103.4,56,21720
34.111.57.229,66,21606
23.62.20.73,65,21440
182.22.25.252,47,21256
fe80::1844:2097:3257:9265,200,21256
172.217.161.42,76,20999
23.51.14.162,44,20760
147.92.146.129,167,20460
142.251.42.131,22,20428
18.178.233.21,257,20146
fe80::8ea:da35:77d2:f31c,195,20138
17.188.182.4,197,20103
182.22.25.124,45,19998
3.164.110.62,58,19935
35.244.159.8,49,19440
fe80::1033:ea9f:5050:e2de,183,18806
fe80::42:7ae2:aa1b:cba2,179,18710
147.92.146.138,155,18496
17.138.222.129,237,18486
52.220.188.161,241,18446
17.137.162.3,238,18324
23.54.60.26,46,18027
fe80::ca7:3c49:21f0:240f,141,18021
23.35.101.101,59,18011
108.139.10.62,33,17982
34.117.67.69,16,17940
150.171.28.10,66,17867
172.188.170.32,46,17747
119.8.187.97,49,17440
172.217.26.234,74,17412
fe80::10be:af5d:a02b:a241,168,17400
57.144.124.3,21,17400
172.217.174.97,28,17309
142.250.207.35,36,17186
202.233.84.8,58,17129
150.171.27.10,57,17050
54.65.189.210,45,16956
18.178.165.190,44,16894
172.217.175.42,66,16788
13.107.253.46,40,16766
172.217.31.138,64,16632
17.57.145.136,162,16558
108.138.246.16,25,16515
34.102.164.249,14,16500
34.107.172.168,45,16428
fe80::82c:471c:b62e:1a30,158,16361
34.36.71.42,12,16344
185.84.60.20,42,16145
18.142.188.29,39,16138
34.102.215.99,206,16068
147.92.185.2,151,16034
17.248.221.2,33,15851
74.125.23.113,23,15772
49.102.153.239,204,15704
23.52.128.159,43,15696
52.11.127.249,43,15654
17.188.143.189,154,15633
49.102.153.240,203,15626
52.38.186.244,36,15615
180.210.70.11,40,15564
57.182.229.142,199,15426
17.188.182.68,197,15366
17.253.71.73,11,15312
17.253.71.125,11,15312
18.176.63.71,34,15290
43.206.20.122,40,15255
142.251.42.174,40,15219
151.101.129.91,55,15204
17.188.182.196,192,14954
141.226.231.48,43,14898
17.188.183.4,191,14876
23.35.100.161,33,14875
23.106.127.170,38,14704
124.83.185.124,36,14641
52.193.220.118,33,14537
23.62.20.75,42,14500
151.101.193.44,54,14373
35.213.7.90,45,14271
64.78.201.1,181,14118
44.227.190.208,190,14060
34.160.231.76,15,14010
23.51.163.113,36,13948
64.78.200.1,178,13884
fe80::4c1:291e:f7eb:572e,124,13830
17.188.179.2,177,13806
74.125.23.156,32,13801
207.65.34.77,37,13701
17.57.152.35,178,13676
17.188.143.126,175,13650
17.167.200.72,175,13650
35.73.249.68,48,13644
fe80::4ec:c184:ed7c:a269,128,13516
17.57.156.25,175,13490
17.57.145.139,173,13472
