ip_address,packets,traffic_in_bytes
17.57.145.140,173,13472
fe80::1427:ab45:78c1:8045,131,13438
17.188.143.125,172,13416
52.69.138.105,46,13067
17.57.152.32,170,13052
23.208.236.42,167,13026
17.57.172.4,167,13026
142.250.199.101,31,13022
17.188.143.158,166,12948
104.18.22.232,199,12866
17.138.176.4,165,12854
34.111.113.62,34,12852
104.18.23.232,197,12742
35.201.98.24,34,12714
17.188.143.157,160,12480
17.179.252.2,160,12480
17.138.144.4,158,12324
34.98.64.218,38,12280
34.36.131.60,36,12259
157.240.209.63,16,12192
57.144.150.192,16,12192
23.62.20.79,70,12105
216.239.38.21,38,12077
17.188.172.72,151,11778
17.253.68.117,151,11778
18.173.117.231,31,11630
151.101.66.132,28,11573
124.146.153.151,26,11506
17.188.171.138,147,11466
124.146.153.164,28,11446
3.169.182.161,27,11342
17.57.145.153,94,11301
34.110.200.237,13,11286
216.239.36.223,18,11283
17.188.178.2,143,11154
34.36.216.150,33,11133
18.177.227.174,31,11123
17.57.145.134,140,11054
147.92.249.185,140,10904
157.240.209.16,15,10898
57.144.176.141,15,10870
17.188.143.187,139,10842
35.212.40.129,30,10661
17.253.71.127,7,10632
17.253.71.65,7,10632
17.253.68.245,135,10530
17.188.179.34,134,10452
108.139.10.104,32,10376
178.249.213.26,29,10242
fe80::187b:419a:d069:4877,90,10234
17.253.68.115,130,10140
57.144.124.196,168,10080
17.188.178.226,129,10062
210.161.21.14,21,9865
17.188.172.74,126,9828
17.188.171.202,125,9750
17.188.168.161,125,9750
142.251.8.108,126,9700
142.251.8.109,126,9700
17.253.114.43,107,9630
57.144.152.141,14,9604
17.188.171.74,123,9594
147.92.185.1,123,9578
23.192.46.130,121,9438
17.188.172.10,120,9360
ff02::1:ffcb:ffc0,108,9288
23.52.128.139,118,9204
17.253.68.113,118,9204
23.52.128.132,117,9126
17.138.222.1,116,9048
17.137.163.2,117,8998
216.239.32.112,116,8632
182.161.74.47,26,8465
106.153.247.72,107,8346
17.188.170.135,107,8346
224.0.0.2,139,8340
17.145.0.2,106,8268
17.188.170.10,106,8268
18.139.169.112,107,8202
157.240.31.142,11,8154
106.153.247.40,104,8112
74.125.10.70,14,8076
fe80::1439:fb62:b039:ea75,70,8045
106.153.247.8,103,8034
17.253.68.243,103,8034
17.188.170.72,101,7878
10.4.129.124,13,7670
3.212.190.79,98,7644
17.253.68.253,84,7560
fe80::42c:1442:3878:7cc7,67,7058
17.138.232.1,90,7020
103.86.99.108,85,6984
17.253.60.161,5,6960
17.253.60.141,5,6960
142.250.77.174,14,6912
157.240.31.35,14,6912
17.56.12.226,88,6864
17.111.103.83,89,6814
147.92.191.146,23,6741
52.220.229.102,88,6736
17.56.12.41,85,6630
104.16.160.145,19,6490
103.86.96.108,78,6400
17.253.71.196,81,6318
23.62.20.90,20,6314
17.253.71.199,80,6240
17.145.53.1,79,6162
17.57.145.154,79,6162
17.253.68.241,78,6084
17.57.12.16,78,6084
17.57.12.243,78,6084
3.115.252.22,78,6036
23.217.70.135,77,6006
3.232.87.98,77,6006
17.253.71.197,76,5928
173.194.174.108,77,5894
173.194.174.109,77,5894
17.253.68.125,64,5760
17.57.145.54,23,5750
17.57.12.242,72,5616
23.34.99.220,71,5538
54.84.121.57,69,5382
17.253.71.198,68,5304
107.22.216.103,68,5304
fe80::cfe:9ed9:2b4e:2a6c,50,5266
17.253.68.251,56,5040
fe80::18d5:1120:a5f0:a50c,48,5016
17.36.206.8,63,4914
17.253.75.140,62,4772
23.204.139.206,60,4680
23.204.139.199,60,4680
17.57.12.145,60,4680
17.253.71.195,60,4680
17.33.203.39,60,4664
17.253.75.143,59,4554
216.58.220.110,11,4410
17.57.12.11,56,4368
98.88.138.249,56,4368
3.209.30.114,56,4368
192.168.100.112,15,4278
17.8.138.9,56,4272
192.168.100.107,17,4250
192.168.100.106,16,4208
192.168.100.110,16,4208
17.253.68.123,46,4140
10.4.128.220,7,4130
192.168.100.109,14,4068
192.168.100.105,14,4012
192.168.100.103,12,3928
23.217.68.208,50,3900
192.168.100.104,11,3886
17.36.206.7,49,3822
54.211.32.144,49,3822
106.10.237.24,48,3712
106.10.219.26,48,3712
192.168.100.111,26,3704
17.253.71.200,47,3666
192.168.100.108,11,3570
192.168.100.102,26,3540
10.4.33.184,6,3540
ff02::1:ffc5:fcc,41,3526
17.253.75.137,45,3430
192.168.100.101,9,3374
44.209.114.137,42,3276
54.165.186.178,42,3276
3.227.117.221,42,3276
34.206.148.87,42,3276
54.85.206.200,42,3276
44.214.86.79,42,3276
18.235.95.61,42,3276
18.214.177.77,42,3276
3.217.171.52,42,3276
52.71.182.210,42,3276
23.22.74.28,42,3276
3.229.73.70,42,3276
98.89.192.24,42,3276
44.217.163.23,42,3276
44.207.95.87,42,3276
44.218.192.56,42,3276
44.211.14.43,42,3276
192.168.159.255,13,3231
162.159.142.9,13,3216
23.55.208.216,40,3120
13.219.187.152,39,3042
52.1.98.92,39,3042
52.7.215.96,39,3042
23.48.114.33,38,2964
18.207.55.189,38,2964
3.234.65.156,38,2964
23.23.194.168,38,2964
52.54.155.95,38,2964
17.253.75.146,38,2948
17.138.175.254,37,2886
54.243.40.134,37,2886
142.250.157.109,37,2870
147.92.242.232,36,2808
23.21.189.174,35,2730
71.18.252.203,12,2728
17.33.203.11,35,2714
17.253.71.201,34,2652
17.253.69.209,34,2604
fe80::1c5f:29bc:2532:3ae2,29,2566
17.253.75.139,33,2526
17.57.163.32,32,2496
17.57.163.33,32,2496
ff02::1:ffa7:98d,29,2494
34.198.43.241,31,2418
fe80::1897:a806:39ce:2b03,23,2394
17.253.75.138,31,2386
10.4.130.104,4,2360
17.242.184.19,30,2340
17.8.131.8,30,2340
17.8.131.136,30,2340
17.8.131.101,30,2340
17.253.71.153,30,2324
ff02::1:ff9a:9015,27,2322
ff02::1:ff89:df8a,27,2322
17.33.195.38,30,2308
34.120.208.123,34,2204
142.250.157.108,28,2184
173.194.174.95,28,2184
17.32.194.34,28,2184
17.32.194.2,28,2184
18.211.185.80,28,2184
3.225.1.51,28,2184
54.85.82.125,28,2184
3.89.178.173,28,2184
3.229.40.197,28,2184
23.23.59.204,28,2184
54.210.146.119,28,2184
3.229.174.154,28,2184
174.129.5.204,28,2184
17.8.138.25,28,2168
23.204.139.214,27,2106
23.204.139.207,27,2106
44.215.22.101,27,2106
52.72.28.25,27,2106
3.212.75.125,27,2106
3.209.63.135,26,2028
34.235.217.192,26,2028
17.253.75.135,26,2012
17.122.46.102,26,1996
ff02::1:ffae:9bcb,22,1892
ff02::1:ff0e:9601,22,1892
221.110.141.166,23,1794
64.233.188.109,23,1794
3.225.209.93,23,1794
3.223.113.59,23,1794
54.86.35.55,23,1794
54.85.6.137,23,1794
18.204.126.44,23,1794
35.170.176.236,23,1794
54.198.126.17,23,1794
44.217.6.108,23,1794
54.187.68.172,17,1727
44.213.229.55,22,1716
100.28.52.74,22,1716
23.21.203.205,22,1716
17.8.139.40,22,1700
118.103.88.103,22,1684
34.200.68.119,21,1638
18.207.76.236,21,1638
34.196.238.166,21,1638
34.200.84.140,21,1638
23.20.150.3,21,1638
18.206.112.201,21,1638
52.72.90.28,21,1638
17.179.252.18,21,1638
44.218.67.28,21,1638
44.213.145.234,21,1638
35.171.231.210,21,1638
52.1.116.104,21,1638
44.193.240.157,21,1638
34.230.132.48,21,1638
44.208.196.238,21,1638
34.225.66.0,21,1638
34.231.162.77,21,1638
17.253.75.145,21,1622
44.225.241.36,23,1576
52.39.89.0,23,1576
44.240.150.60,23,1576
34.215.8.130,23,1576
17.57.172.14,20,1560
17.57.172.13,20,1560
17.171.47.21,20,1560
23.209.45.65,20,1560
23.209.45.66,20,1560
17.137.162.2,20,1560
64.233.188.108,20,1560
17.253.71.202,20,1560
31.13.82.3,20,1560
17.132.112.129,20,1560
23.217.136.189,20,1560
44.207.109.16,20,1560
3.210.99.240,20,1560
23.223.118.32,20,1560
54.153.35.249,21,1554
fe80::10f4:a90c:9408:219c,12,1552
17.253.75.142,19,1482
17.171.47.86,19,1482
216.239.38.135,19,1482
17.23.96.10,19,1482
47.88.73.126,20,1480
fe80::1cc0:320e:5635:47b7,12,1440
47.88.38.69,19,1406
52.9.144.60,19,1406
193.114.62.53,18,1404
17.32.194.22,18,1404
17.8.139.22,18,1388
fe80::e9:702e:a32a:df8a,13,1382
fe80::e9:2846:ad3d:6c50,11,1377
ff02::1:ffc4:9dbb,16,1376
23.56.0.188,21,1358
23.56.0.189,21,1358
47.88.38.23,18,1332
23.209.45.58,17,1326
ff02::1:ff5b:e9e5,15,1290
ff02::1:ff24:de05,15,1290
192.168.100.11,13,1274
13.227.74.106,16,1248
13.227.74.72,16,1248
13.227.74.77,16,1248
13.227.74.40,16,1248
76.223.92.165,16,1248
13.248.212.111,16,1248
ff02::1:ffd2:f31c,14,1204
47.88.38.57,16,1184
199.103.24.2,15,1170
ff02::1:ffeb:572e,13,1118
47.88.38.56,15,1110
47.88.38.40,15,1110
47.88.38.64,15,1110
47.88.38.62,15,1110
47.88.38.61,15,1110
17.36.206.9,14,1092
17.167.200.71,14,1092
57.144.152.144,14,1092
23.217.69.53,14,1092
23.205.214.32,14,1092
17.57.13.47,14,1092
52.1.155.149,14,1092
44.217.133.98,14,1092
13.219.31.224,14,1092
52.2.60.200,14,1092
3.224.136.226,14,1092
3.225.239.183,14,1092
107.20.197.75,14,1092
34.204.247.91,14,1092
54.163.14.159,14,1092
3.85.253.160,14,1092
52.73.152.182,14,1092
44.213.231.17,14,1092
18.155.202.71,14,1036
216.239.32.223,14,1036
108.158.251.18,14,1036
108.158.251.125,14,1036
ff02::1:ff32:3ae2,12,1032
ff02::1:ff57:9265,12,1032
ff02::1:ff50:e2de,12,1032
23.192.46.171,13,1014
23.205.214.37,13,1014
18.246.94.14,13,990
fe80::563:1c10:f4e3:fd72,13,970
57.182.58.64,13,962
57.144.124.192,16,960
ff02::1:ffc1:8045,11,946
ff02::1:fffe:5f22,11,946
ff02::1:ff2e:1a30,11,946
157.240.31.7,12,936
17.8.138.37,12,904
35.72.142.241,12,888
52.196.173.102,12,888
ff02::1:ff2b:a241,10,860
ff02::1:ff1b:cba2,10,860
17.33.203.20,11,842
17.253.87.204,11,842
17.253.87.203,11,842
17.32.194.12,11,842
17.32.194.43,11,842
117.46.11.231,11,842
118.103.88.119,11,842
23.204.139.210,11,842
17.138.132.1,11,842
17.138.204.2,11,842
17.253.87.195,11,842
17.253.75.136,11,842
17.253.87.198,11,842
142.251.8.188,9,828
180.188.25.47,11,814
23.52.128.75,10,780
71.18.222.1,10,780
23.209.45.74,10,780
23.209.45.16,10,780
23.209.45.51,10,780
23.209.45.50,10,780
23.209.45.33,10,780
23.209.45.9,10,780
23.209.45.11,10,780
199.103.24.4,10,780
17.157.64.79,10,780
23.209.45.73,10,780
23.209.45.67,10,780
23.209.45.57,10,780
23.209.45.72,10,780
23.209.45.64,10,780
23.209.45.59,10,780
23.61.86.175,10,780
23.217.136.160,10,780
18.161.229.90,10,780
17.253.75.132,10,780
23.217.136.153,10,780
23.204.139.220,10,780
18.65.100.47,10,780
17.145.48.1,10,780
199.232.210.172,12,776
199.232.214.172,12,776
ff02::1:ff7c:a269,9,774
17.253.69.210,10,764
173.194.174.188,10,740
151.101.108.159,9,702
18.155.192.43,9,702
18.238.192.104,9,702
18.246.101.79,9,702
18.155.192.87,9,702
18.238.192.107,9,702
18.155.192.46,9,702
18.238.192.15,9,702
18.155.192.70,9,702
18.238.192.12,9,702
18.246.94.195,9,702
35.86.67.248,9,702
108.158.251.52,9,702
18.67.161.91,9,702
108.158.251.67,9,702
18.67.161.31,9,702
108.158.251.88,9,702
18.67.161.102,9,702
108.158.251.126,9,702
18.67.161.113,9,702
fe80::10c3:4ede:13fb:6b1,7,694
3.115.131.22,9,666
17.138.160.4,8,624
52.68.113.29,8,624
52.198.115.147,8,624
13.113.183.189,8,624
151.101.110.73,8,624
18.246.97.199,8,624
17.253.87.200,8,624
17.253.75.144,8,624
17.253.87.197,8,624
fe80::1c4b:682f:a145:e051,5,600
23.52.128.10,8,592
23.52.128.14,8,592
23.217.181.166,9,582
17.57.145.55,7,546
142.251.170.207,7,546
142.250.157.207,7,546
31.13.67.175,7,546
157.240.14.175,7,546
57.144.162.36,7,546
23.209.45.42,7,546
23.209.45.17,7,546
23.209.45.27,7,546
1.1.1.1,7,546
65.8.161.23,7,546
65.8.161.128,7,546
65.8.161.60,7,546
65.8.161.71,7,546
17.242.179.27,7,546
17.57.13.65,7,546
18.239.196.159,7,546
18.239.196.133,7,546
18.239.196.97,7,546
18.239.196.15,7,546
17.57.12.255,7,546
17.57.12.12,7,546
104.36.194.121,7,546
17.57.12.113,7,546
18.155.202.13,7,525
57.144.176.8,7,518
99.84.141.35,7,518
99.84.141.117,7,518
99.84.141.70,7,518
99.84.141.83,7,518
fe80::447:c532:79f7:5042,5,482
23.52.128.71,6,468
199.103.24.6,6,468
23.209.45.48,6,468
23.209.45.34,6,468
23.209.45.75,6,468
23.209.45.25,6,468
23.217.69.198,6,468
216.239.34.223,6,444
3.173.197.85,6,444
169.254.75.179,6,440
ff02::1:ff39:ea75,5,430
ff02::1:fff0:240f,5,430
57.144.124.141,7,420
23.62.20.77,6,412
63.140.50.158,5,390
23.217.181.23,5,390
63.140.50.133,5,390
63.140.50.20,5,390
34.104.30.1,5,390
20.72.205.209,6,388
151.101.193.91,6,388
151.101.65.91,6,388
34.107.243.93,6,388
23.193.119.160,6,388
23.193.119.141,6,388
fe80::923c:1dff:fe90:fa6,4,380
3.168.86.6,5,370
57.144.176.144,5,370
192.178.164.188,5,370
52.51.15.133,5,370
13.225.158.91,5,370
13.225.158.38,5,370
192.178.209.188,5,370
ff02::1:ff78:7cc7,4,344
ff02::1:ff69:4877,4,344
23.62.20.108,5,342
34.107.238.235,4,312
199.103.24.8,4,312
3.168.86.26,4,296
3.168.86.13,4,296
3.168.86.39,4,296
52.182.143.209,4,296
44.242.23.53,4,296
52.168.117.170,4,296
34.243.68.253,4,296
52.6.49.69,4,295
52.12.246.69,4,288
98.82.161.174,4,288
ff02::1:fffb:6b1,3,258
ff02::1:ff4e:2a6c,3,258
ff02::1:fff0:a50c,3,258
23.192.46.195,3,234
23.192.46.145,3,234
23.192.46.120,3,234
23.192.46.123,3,234
23.53.3.148,3,234
57.144.252.36,3,234
13.225.158.2,3,222
13.112.191.225,3,222
183.79.253.220,3,212
fe80::30b5:fa7f:71f1:cb27,3,210
23.51.14.136,3,208
23.62.20.96,3,208
52.168.117.168,3,194
142.251.42.163,3,194
92.223.95.95,3,194
23.219.69.110,3,194
132.196.74.211,3,194
130.213.27.179,3,194
135.233.45.220,3,194
103.131.151.30,2,180
45.76.211.39,2,180
151.248.68.194,2,180
167.179.119.205,2,180
ff02::1:ffce:2b03,2,172
23.216.153.94,2,156
23.216.153.73,2,156
23.216.153.70,2,156
23.216.153.71,2,156
23.216.153.72,2,156
23.216.153.93,2,156
23.53.3.145,2,156
23.216.153.95,2,156
117.46.16.167,2,156
74.125.204.188,2,148
17.253.75.133,2,140
fe80::d482:26aa:3175:4dc3,2,140
74.125.68.95,2,126
57.144.176.192,2,120
ff02::1:ff2a:df8a,1,86
ff02::1:ffe3:fd72,1,86
ff02::1:fff7:5042,1,86
23.53.3.135,1,78
23.63.233.54,1,78
23.53.3.150,1,78
23.63.233.52,1,78
23.53.3.132,1,78
23.63.233.8,1,78
34.95.101.116,1,78
23.53.3.144,1,78
23.63.233.48,1,78
23.53.3.139,1,78
23.63.233.51,1,78
23.63.233.17,1,78
23.63.233.58,1,78
23.63.233.56,1,78
18.161.232.61,1,78
18.161.232.128,1,78
fe80::1f60:d21d:e0dc:b385,1,70
fe80::eacf:83ff:fe9a:5510,1,70
192.168.130.28,1,66
142.250.196.110,1,66
172.217.161.67,1,66
216.239.36.175,1,66
3.168.86.122,1,66
99.83.210.132,1,66
74.125.203.188,1,66
108.139.5.176,1,66
172.19.0.6,1,66
57.144.212.144,1,60
163.70.140.63,1,60
